AverageTemperature,AverageTemperatureUncertainty,City,Year,Month,Day
23.478,1.884,Acapulco,1887,1,1
23.844,1.449,Acapulco,1887,2,1
23.249,2.066,Acapulco,1887,3,1
23.695,1.471,Acapulco,1887,4,1
25.716,0.808,Acapulco,1887,5,1
26.584,0.881,Acapulco,1887,6,1
26.884,0.927,Acapulco,1887,7,1
26.845,0.719,Acapulco,1887,8,1
26.509,0.835,Acapulco,1887,9,1
25.656,0.743,Acapulco,1887,10,1
25.945,1.068,Acapulco,1887,11,1
25.186,2.964,Acapulco,1887,12,1
24.152,1.385,Acapulco,1888,1,1
23.587,1.154,Acapulco,1888,2,1
23.337,1.054,Acapulco,1888,3,1
23.872,1.254,Acapulco,1888,4,1
25.366,0.762,Acapulco,1888,5,1
26.435,1.012,Acapulco,1888,6,1
27.178,0.778,Acapulco,1888,7,1
27.15,0.805,Acapulco,1888,8,1
26.036,0.733,Acapulco,1888,9,1
26.766,1.051,Acapulco,1888,10,1
26.317,1.372,Acapulco,1888,11,1
25.111,1.142,Acapulco,1888,12,1
24.982,1.23,Acapulco,1889,1,1
24.973,0.96,Acapulco,1889,2,1
23.718,0.994,Acapulco,1889,3,1
24.608,1.289,Acapulco,1889,4,1
26.134,1.463,Acapulco,1889,5,1
28.08,0.975,Acapulco,1889,6,1
27.731,1.001,Acapulco,1889,7,1
26.961,0.766,Acapulco,1889,8,1
26.76,0.945,Acapulco,1889,9,1
25.93,0.765,Acapulco,1889,10,1
26.247,1.031,Acapulco,1889,11,1
24.949,2.65,Acapulco,1889,12,1
25.202,1.498,Acapulco,1890,1,1
23.68,1.547,Acapulco,1890,2,1
22.862,1.297,Acapulco,1890,3,1
24.783,1.166,Acapulco,1890,4,1
25.93,1.742,Acapulco,1890,5,1
26.491,0.695,Acapulco,1890,6,1
27.141,0.776,Acapulco,1890,7,1
26.607,0.683,Acapulco,1890,8,1
26.297,0.809,Acapulco,1890,9,1
26.161,0.782,Acapulco,1890,10,1
25.64,0.837,Acapulco,1890,11,1
24.657,0.989,Acapulco,1890,12,1
24.381,1.25,Acapulco,1891,1,1
24.397,1.349,Acapulco,1891,2,1
23.65,0.882,Acapulco,1891,3,1
23.689,0.768,Acapulco,1891,4,1
25.446,0.982,Acapulco,1891,5,1
26.653,0.911,Acapulco,1891,6,1
26.997,0.713,Acapulco,1891,7,1
26.916,0.973,Acapulco,1891,8,1
26.875,1.032,Acapulco,1891,9,1
25.473,2.61,Acapulco,1891,10,1
26.286,0.914,Acapulco,1891,11,1
25.724,0.92,Acapulco,1891,12,1
24.348,1.527,Acapulco,1892,1,1
24.739,0.784,Acapulco,1892,2,1
23.479,1.369,Acapulco,1892,3,1
24.878,0.779,Acapulco,1892,4,1
26.368,1.365,Acapulco,1892,5,1
27.499,0.984,Acapulco,1892,6,1
27.424,0.924,Acapulco,1892,7,1
27.099,1.739,Acapulco,1892,8,1
26.602,0.641,Acapulco,1892,9,1
26.252,0.815,Acapulco,1892,10,1
25.683,1.391,Acapulco,1892,11,1
25.426,0.873,Acapulco,1892,12,1
23.701,1.124,Acapulco,1893,1,1
24.51,0.778,Acapulco,1893,2,1
23.416,1.112,Acapulco,1893,3,1
25.245,0.953,Acapulco,1893,4,1
25.63,1.036,Acapulco,1893,5,1
26.456,0.956,Acapulco,1893,6,1
